Date,Open,High,Low,Close,Volume,
18/04/2017,1286.7,1294.4,1280.6,1294.1,272618,
17/04/2017,1292.4,1297.4,1283.1,1291.9,189444,
13/04/2017,1288.3,1290.7,1283.8,1288.5,229082,
12/04/2017,1277.2,1289,1273.8,1278.1,241437,
11/04/2017,1256.8,1277.4,1254.7,1274.2,279421,
10/04/2017,1255.6,1258.9,1248.2,1253.9,176084,
07/04/2017,1253.9,1273.3,1252.4,1257.3,365404,
06/04/2017,1257.6,1260.9,1251.3,1253.3,160510,
05/04/2017,1258.2,1259.3,1245.4,1248.5,226454,
04/04/2017,1255.5,1263.7,1255.5,1258.4,152043,
03/04/2017,1251.9,1255.9,1246.4,1254,135738,
31/03/2017,1244.6,1252.8,1241.5,1251.2,158381,
30/03/2017,1256.1,1256.5,1244.2,1248,211199,
29/03/2017,1253,1257.5,1250,1256.8,157858,
28/03/2017,1257.1,1261.4,1250.5,1258.8,110672,
27/03/2017,1247.2,1264.2,1247.2,1258.8,70055,
24/03/2017,1248.2,1255,1243.7,1251.7,50728,
23/03/2017,1251.5,1256.4,1245.6,1250.1,38955,
22/03/2017,1244.5,1251.5,1243.8,1249.7,210181,
21/03/2017,1234.2,1247.7,1226.6,1246.5,278090,
20/03/2017,1229,1235.5,1228.8,1234,122559,
17/03/2017,1226.2,1231.5,1224,1230.2,146933,
16/03/2017,1219.5,1234,1218.1,1227.1,243137,
15/03/2017,1198.7,1222,1196.8,1200.7,256440,
14/03/2017,1203.5,1207.5,1196.9,1202.6,176653,
13/03/2017,1205,1210.9,1202,1203.1,168436,
10/03/2017,1200.2,1206.2,1194.5,1201.4,250514,
09/03/2017,1207.7,1208.9,1199,1203.2,226026,
08/03/2017,1215.6,1218.5,1206.4,1209.4,200792,
07/03/2017,1225.7,1227.4,1214.1,1216.1,195645,
06/03/2017,1233.9,1237.3,1225,1225.5,154275,
03/03/2017,1234.8,1236.7,1223,1226.5,268970,
02/03/2017,1249.9,1250.8,1231.1,1232.9,262903,
01/03/2017,1248.5,1251.4,1237.2,1250,300815,
28/02/2017,1253.3,1259.3,1248.2,1253.9,225369,
27/02/2017,1258.9,1264.9,1251.5,1258.8,201486,
24/02/2017,1250.6,1261.2,1248.8,1258.3,209660,
23/02/2017,1238.3,1252.2,1236.4,1251.4,250277,
22/02/2017,1236.9,1241.9,1231.5,1233.3,193431,
21/02/2017,1239.3,1240.2,1226.8,1238.9,245695,
17/02/2017,1240.8,1245.1,1232.4,1239.1,20247,
16/02/2017,1234.3,1243.7,1233.3,1241.6,196467,
15/02/2017,1228.6,1234.9,1217.5,1233.1,220585,
14/02/2017,1226.1,1236,1222.7,1225.4,223687,
13/02/2017,1234.2,1234.4,1220.3,1225.8,168285,
10/02/2017,1229.6,1238.9,1222.6,1235.9,229161,
09/02/2017,1242.7,1246.2,1226.1,1236.8,234244,
08/02/2017,1235.2,1246.6,1231.3,1239.5,216044,
07/02/2017,1236.9,1237.5,1229.2,1236.1,192661,
06/02/2017,1221.9,1237.5,1220.8,1232.1,190379,
03/02/2017,1217.8,1223.2,1208.3,1220.8,210726,
02/02/2017,1211.2,1227.5,1210.2,1219.4,220209,
01/02/2017,1212.2,1215,1199.7,1208.3,211357,
31/01/2017,1197.7,1217.4,1195.6,1211.4,237644,
30/01/2017,1194.6,1201.3,1190,1196,185344,
27/01/2017,1191.4,1193.8,1182.6,1191.1,142852,
26/01/2017,1204.1,1205,1186.6,1192.5,94439,
25/01/2017,1211.5,1212.2,1195.3,1200.5,80202,
24/01/2017,1218,1220.1,1206.2,1210.8,211945,
23/01/2017,1209.3,1219.4,1209,1215.6,231381,
