Date,Open,High,Low,Close,Volume,Open Interest
2017/12/08 00:00:00,1249.5,1254.4,1244.4,1248.4,270293,0
2017/12/07 00:00:00,1265.2,1266.8,1245.8,1253.1,305430,0
2017/12/06 00:00:00,1268.3,1271.8,1264.8,1266.1,239509,0
2017/12/05 00:00:00,1279.1,1279.8,1263.2,1264.9,311493,0
2017/12/04 00:00:00,1277.6,1280.5,1273.5,1277.7,250246,0
2017/12/01 00:00:00,1277.9,1292.5,1274.2,1282.3,421344,0
2017/11/30 00:00:00,1286.9,1288.4,1273.1,1276.7,331729,0
2017/11/29 00:00:00,1298,1300.4,1285.1,1286.2,370799,0
2017/11/28 00:00:00,1298.8,1301.3,1294.5,1299.2,224246,0
2017/11/27 00:00:00,1292,1303.4,1290.7,1298.9,143791,0
2017/11/24 00:00:00,1296.1,1297.6,1289.5,1291.8,83375,0
2017/11/22 00:00:00,1296.1,1296.4,1293.7,1296.8,5008,0
2017/11/21 00:00:00,1276.6,1284.5,1275.8,1281.7,315463,0
2017/11/20 00:00:00,1294.1,1295.1,1274.1,1275.3,399552,0
2017/11/17 00:00:00,1278.8,1297.5,1278.1,1296.5,368094,0
2017/11/16 00:00:00,1278,1281.8,1274.9,1278.2,268021,0
2017/11/15 00:00:00,1280.7,1290,1276.5,1277.7,417251,0
2017/11/14 00:00:00,1278.9,1283.8,1269.7,1282.9,342150,0
2017/11/13 00:00:00,1275.3,1279.9,1274.4,1278.9,213187,0
2017/11/10 00:00:00,1286,1287.7,1273.6,1274.2,342281,0
2017/11/09 00:00:00,1286,1287.7,1285.4,1287.5,20559,0
2017/11/08 00:00:00,1276.4,1288.1,1276.1,1283.7,346077,0
2017/11/07 00:00:00,1282.6,1282.8,1272.3,1275.8,327931,0
2017/11/06 00:00:00,1270.7,1283.9,1266.4,1281.6,340658,0
2017/11/03 00:00:00,1277.5,1281.2,1265.9,1269.2,361591,0
2017/11/02 00:00:00,1275.2,1285.1,1274,1278.1,374063,0
2017/11/01 00:00:00,1271.8,1281.9,1268.5,1277.3,376514,0
2017/10/31 00:00:00,1277.6,1279.1,1268.3,1270.5,264613,0
2017/10/30 00:00:00,1274.3,1279.9,1269.8,1277.7,253987,0
2017/10/27 00:00:00,1268,1275.2,1263.8,1271.8,352515,0
2017/10/26 00:00:00,1278.6,1283.8,1266.4,1269.6,377535,0
2017/10/25 00:00:00,1278,1281.3,1272,1279,368454,0
2017/10/24 00:00:00,1283.9,1285.3,1274.8,1278.3,262004,0
2017/10/23 00:00:00,1281.5,1284.7,1273.6,1280.9,276923,0
2017/10/20 00:00:00,1292,1292.9,1279.3,1280.5,308883,0
2017/10/19 00:00:00,1282.8,1292.8,1277.6,1290,345419,0
2017/10/18 00:00:00,1286.9,1290.8,1278.6,1283,250218,0
2017/10/17 00:00:00,1297.2,1298.4,1283.2,1286.2,328145,0
2017/10/16 00:00:00,1306,1308.4,1292.5,1303,265876,0
2017/10/13 00:00:00,1296,1306.4,1292.9,1304.6,290549,0
2017/10/12 00:00:00,1294.6,1299.8,1291.8,1296.5,239955,0
2017/10/11 00:00:00,1290.7,1295.9,1286.8,1288.9,258782,0
2017/10/10 00:00:00,1286.8,1296.7,1284.6,1293.8,308402,0
2017/10/09 00:00:00,1278.6,1288,1277.7,1285,195058,0
2017/10/06 00:00:00,1270.6,1279.2,1262.8,1274.9,361565,0
2017/10/05 00:00:00,1277.5,1281.6,1268.5,1273.2,217774,0
2017/10/04 00:00:00,1274.5,1285,1273.1,1276.8,266333,0
2017/10/03 00:00:00,1273.1,1277.4,1271,1274.6,202951,0
2017/10/02 00:00:00,1282.2,1282.8,1272,1275.8,267375,0
2017/09/29 00:00:00,1290.1,1293.2,1278.2,1284.8,280671,0
2017/09/28 00:00:00,1285.1,1291.6,1280.4,1288.7,279916,0
2017/09/27 00:00:00,1297.3,1299.2,1284.1,1287.8,364084,0
2017/09/26 00:00:00,1314.2,1317.1,1295,1301.7,376702,0
2017/09/25 00:00:00,1301.5,1315.8,1291.7,1311.5,357294,0
2017/09/22 00:00:00,1294.1,1301.9,1294.1,1297.5,256421,0
2017/09/21 00:00:00,1304.8,1305,1291.2,1294.8,388118,0
2017/09/20 00:00:00,1314.7,1319.8,1299.5,1316.4,343639,0
2017/09/19 00:00:00,1310.5,1315.3,1308.7,1310.6,268037,0
2017/09/18 00:00:00,1324,1324,1308.1,1310.8,259701,0
2017/09/15 00:00:00,1333.7,1338.2,1323,1325.2,313245,0
2017/09/14 00:00:00,1327.6,1334.9,1319.5,1329.3,327600,0
2017/09/13 00:00:00,1336.2,1340.5,1324.5,1328,298024,0
2017/09/12 00:00:00,1331.7,1336.3,1326.7,1332.7,281134,0
2017/09/11 00:00:00,1341.5,1344.6,1330.6,1335.7,292049,0
2017/09/08 00:00:00,1354,1362.4,1347.1,1351.2,377234,0
2017/09/07 00:00:00,1339,1355.5,1337.2,1350.3,354009,0
2017/09/06 00:00:00,1345,1347.7,1336.4,1339,297521,0
2017/09/05 00:00:00,1339.8,1349.7,1331.1,1344.5,546280,0
2017/09/01 00:00:00,1339.7,1343.5,1330.4,1330.4,52922,0
2017/08/31 00:00:00,1314.1,1329,1302.3,1322.2,359132,0
2017/08/30 00:00:00,1314.8,1319.3,1310.1,1314.1,301091,0
2017/08/29 00:00:00,1320.5,1331.9,1310.6,1318.9,444146,0
2017/08/28 00:00:00,1297.6,1317.8,1297,1315.3,310489,0
2017/08/25 00:00:00,1291.3,1301.4,1281.3,1297.9,350288,0
